,NAIL ART RUN GAME - ALL DESINGS,,,,,,,,,,
,,,,,,,,,,,
,Design Number,Design ,Color Code,Pattern Code,,,THUMB,POINTER,MIDDLE,RING,PINKY
,N-100,,C1,P1,,LEVEL 1,C0-P0,C1-P1,C0-P0,C1-P1,C1-P1
,N-101,,C2,P2,,,,,,,
,N-102,,C1,P3,,LEVEL2 ,"C1,P4","C2,P0","C0,P0","C1,P4","C2,P0"
,N-103,,C1,P4,,,,,,,
,N-104,,C2,P5,,LEVEL3,"C2,P2","C2,P0","C1,P3","C1,P0",C2.P5
,N-105,,C3,P6,,,,,,,
,N-106,,C3,P7,,LEVEL 1,"C3,P0","C0,P9","C0,P0","C3,P0","C0,P9"
,N-107,,C4,P8,,,,,,,
,N-108,,C3,P9,,LEVEL2 ,"C3,P6","C3,P0","C3,P6","C3,P0","C3,P0"
,N-109,,C3,P10,,,,,,,
,N-110,,C5,P11,,LEVEL3,"C4,P0","C3,P7","C4,P8","C4,P0","C3,P10"
,N-111,,C6,P12,,,,,,,
,N-112,,C5,P13,,LEVEL 1,"C5,P0","C0,P11","C0,P0","C5,P11","C0,P0"
,N-113,,C6,P14,,,,,,,
,N-114,,C5,P15,,LEVEL2 ,"C6,P12","C5,P0","C6,P12","C0,P12","C5,P0"
,N-115,,C7,P16,,,,,,,
,N-116,,C7,P17,,LEVEL3,"C4,P0","C6,P14","C5,P15","C4,P0","C5,P13"
,N-117,,C7,P18,,,,,,,
,N-118,,C7,P19,,LEVEL 1,"C7,P0","C0,P0","C0,P0","C7,P20","C0,P0"
,N-119,,C7,P20,,,,,,,
,N-120,,C8,P21,,LEVEL2 ,"C0,P0","C7,19","C6,P12","C0,19","C7,19"
,N-121,,C8,P22,,,,,,,
,N-122,,C8,P23,,LEVEL3,"C7,P16","C7,P0","C7,P17","C7,P18","C7,P0"
,N-123,,C8,P24,,,,,,,
,N-124,,C8,P25,,LEVEL 1,"C7,P0","C0,P0","C0,P0","C7,P20","C0,P0"
,N-125,,C9,P26,,,,,,,
,N-126,,C9,P27,,LEVEL2 ,"C0,P0","C7,19","C6,P12","C0,19","C7,19"
,N-127,,C9,P28,,,,,,,
,N-128,,C9,P29,,LEVEL3,"C7,P16","C7,P0","C7,P17","C7,P18","C7,P0"
,N-129,,C9,P30,,,,,,,
,N-130,,C10,,,,,,,,
,N-131,,C11,P31,,,,,,,
,N-132,,C10,P32,,,,,,,
,N-133,,C10,,,,,,,,
,N-134,,C11,P33,,,,,,,
,N-135,,C12,,,,,,,,
,N-136,,C13,P34,,,,,,,
,N-137,,C13,P35,,,,,,,
,N-138,,C12,,,,,,,,
,N-139,,C12,P36,,,,,,,
,N-140,,C14,P37,,,,,,,
,N-141,,C14,P38,,,,,,,
,N-142,,C14,P39,,,,,,,
,N-143,,C14,P40,,,,,,,
,N-144,,C14,P41,,,,,,,
,N-145,,C15,P42,,,,,,,
,N-146,,C16,P43,,,,,,,
,N-147,,C16,P44,,,,,,,
,N-148,,C15,P45,,,,,,,
,N-149,,C16,P46,,,,,,,
,N-150,,,,,,,,,,
,N-151,,,,,,,,,,
,N-152,,,,,,,,,,
,N-153,,,,,,,,,,
,N-154,,,,,,,,,,
,N-155,,,,,,,,,,
,N-156,,,,,,,,,,
,N-157,,,,,,,,,,
,N-158,,,,,,,,,,
